filename;greedy_result;genetic_result
generated_100_jobs_1.txt;185452.12;157676.9
generated_100_jobs_2.txt;213287.7;171510.55
generated_100_jobs_3.txt;187469.72;161133.28
generated_100_jobs_4.txt;181715.84;148190.52
generated_100_jobs_5.txt;178951.36;143065.42
generated_100_jobs_6.txt;211733.7;172558.55
generated_100_jobs_7.txt;223430.34;183806.67
generated_100_jobs_8.txt;199464.58;166697.12
generated_100_jobs_9.txt;184305.31;157035.0
generated_100_jobs_10.txt;180998.28;158234.47
generated_100_jobs_11.txt;199600.44;169082.03
generated_100_jobs_12.txt;184303.34;151894.05
generated_100_jobs_13.txt;191992.75;166661.78
generated_100_jobs_14.txt;194303.1;170790.44
generated_100_jobs_15.txt;200655.03;160008.45
generated_100_jobs_16.txt;181811.05;152710.58
generated_100_jobs_17.txt;191218.12;165624.81
generated_100_jobs_18.txt;223155.44;190486.53
generated_100_jobs_19.txt;209913.0;174275.88
generated_100_jobs_20.txt;184367.4;154139.12
generated_100_jobs_21.txt;191891.08;166490.22
generated_100_jobs_22.txt;227550.3;178009.81
generated_100_jobs_23.txt;219690.47;187525.58
generated_100_jobs_24.txt;211374.98;172648.06
generated_100_jobs_25.txt;219152.45;182881.14
generated_100_jobs_26.txt;218386.02;185608.3
generated_100_jobs_27.txt;181173.61;150392.42
generated_100_jobs_28.txt;181940.69;150007.31
generated_100_jobs_29.txt;186361.69;156896.58
generated_100_jobs_30.txt;189299.69;164262.95
